0,1,2,3,4,5,6,7,8,9,10,11
29,0,29,29,2,52,83,0,2,1,0,0
667668,0,661,149488,11,43,569,0,10,4,0,1
639534,0,110119,245489,5,52,413,0,5,2,0,1
407244,0,5,151133,92,17,569,0,91,4,0,1
391601,0,12,107472,34,52,1480,0,34,20,0,1
0,0,20000000,0,1,52,52,0,1,0,0,0
20178205,0,12,8119791,14,47,350,0,9,3,0,5
26485776,0,12,610193,751,13,1500,0,751,45,0,0
26588971,0,5,606045,847,52,52,0,847,0,0,0
626276,0,21,133854,13,52,766,0,12,4,0,1
602375,0,13,204521,6,52,230,0,6,2,0,1
765683,0,2089,189110,9,9,892,0,8,4,0,1
727335,0,23,251147,8,52,630,0,8,3,0,1
11164875,0,50,6164925,9,30,1500,0,9,3,0,1
663,0,20,610,4,52,83,0,4,1,0,0
459,0,459,459,2,52,83,0,2,1,0,0
463,32253,22,377,4,52,83,0,4,1,0,0
36,32568,36,36,2,52,83,0,2,1,0,0
545,13374,31,482,4,52,83,0,4,1,0,0
1650,0,35,1569,4,52,83,0,4,1,0,0
88,0,88,88,2,52,83,0,2,1,0,0
13519,21,21,13470,4,40,83,0,2,1,2,0
415458,0,1565,99118,10,7,519,0,9,5,0,1
390986,0,51,133806,8,18,274,0,8,3,0,1
0,34204805,20000000,0,1,52,52,0,1,0,0,0
0,0,20000000,0,1,52,52,0,1,0,0,0
30085701,0,7140,14996270,6,52,83,0,6,1,0,0
30290000,0,518,14998921,9,52,227,0,9,2,0,1
898187,0,523,215834,14,9,973,0,13,4,0,1
873809,0,122498,346013,5,52,103,0,5,2,0,1
323912,0,7,173399,11,47,1480,0,11,3,0,1
342823,0,6,153018,14,42,298,0,13,6,0,1
194442,0,21,89935,7,40,162,0,6,1,0,1
171749,0,14,120495,6,40,459,0,6,3,0,1
3521612,0,17,1771718,9,52,1252,0,9,3,0,2
17212,0,17212,17212,2,52,83,0,2,1,0,0
531507,0,14,405082,12,47,1480,0,12,3,0,1
584527,0,13,331793,14,42,298,0,13,6,0,1
0,0,20000000,0,1,52,52,0,1,0,0,0
35872550,102989,7,18318364,1006,1,1500,0,1005,33,0,1
17541627,18444628,7,602502,821,22,305,0,821,6,0,1
854738,0,162,298696,12,40,1200,0,12,3,0,1
969777,0,16,173495,16,40,333,0,15,5,0,1
35814170,101732,5360,35189185,9,52,766,0,8,4,0,1
595869,35316796,118,214403,7,52,230,0,7,2,0,1
18978864,99991,2392,18154765,10,9,892,0,9,4,0,1
19065401,1054,109,18283146,10,52,630,0,10,3,0,1
9620671,91312,1100,8931947,10,9,973,0,9,4,0,1
9704818,14676,20,9046418,8,52,204,0,8,2,0,1
203677,0,31,55016,16,52,1213,0,15,5,0,1
179431,0,21,71636,13,52,1478,0,13,8,0,1
54406200,6321754,31,34237692,15,40,350,0,9,3,2,4
13284832,41413214,804,12606864,9,30,1500,0,9,3,0,1
1865129,0,43,1513120,16,12,524,0,15,6,0,1
1841156,0,22,1601185,15,6,1410,0,15,11,0,1
