0,1,2,3,4,5,6,7,8,9,10,11
28,49047,28,28,2,22,534,0,2,1,0,0
64,6850,23,41,3,22,534,0,3,2,0,0
32,12037,32,32,2,22,534,0,2,1,0,0
162,3745,162,162,2,22,534,0,2,1,0,0
49,3906,22,27,3,22,534,0,3,2,0,0
36,4205,36,36,2,22,534,0,2,1,0,0
33,8104,33,33,2,22,534,0,2,1,0,0
26,19567,26,26,2,22,534,0,2,1,0,0
178,7975,178,178,2,22,534,0,2,1,0,0
176,689,176,176,2,22,534,0,2,1,0,0
1144420915,689,30,3056,4,22,534,0,4,2,0,0
1144456948,35839,18,39,4,22,534,0,4,2,0,0
50,5135,50,50,2,22,534,0,2,1,0,0
40,16914,40,40,2,22,534,0,2,1,0,0
1144481047,16914,30,1912,4,22,534,0,4,2,0,0
25,4006,25,25,2,22,534,0,2,1,0,0
43,15884,43,43,2,22,534,0,2,1,0,0
28,9037,28,28,2,22,534,0,2,1,0,0
29,2810,29,29,2,22,534,0,2,1,0,0
48,4127,48,48,2,22,534,0,2,1,0,0
1144525147,4025,25,3789,4,22,534,0,4,2,0,0
93,7863,33,60,3,22,534,0,3,2,0,0
372,39877,372,372,2,22,534,0,2,1,0,0
30,11697,30,30,2,22,534,0,2,1,0,0
33,8377,33,33,2,22,534,0,2,1,0,0
104,7626,104,104,2,22,534,0,2,1,0,0
44,13062,44,44,2,22,534,0,2,1,0,0
26,26455,26,26,2,22,534,0,2,1,0,0
21,444,21,21,2,22,534,0,2,1,0,0
4045,444,19,3962,6,22,534,0,6,3,0,0
54,19662,54,54,2,22,534,0,2,1,0,0
30,8696,30,30,2,22,534,0,2,1,0,0
452,7191,452,452,2,22,534,0,2,1,0,0
34,7539,34,34,2,22,534,0,2,1,0,0
26,4178,26,26,2,22,534,0,2,1,0,0
26,15749,26,26,2,22,534,0,2,1,0,0
37,5570,37,37,2,22,534,0,2,1,0,0
1144723715,7017,28,2036,4,22,534,0,4,2,0,0
55,8092,55,55,2,22,534,0,2,1,0,0
32,27477,32,32,2,22,534,0,2,1,0,0
33,26421,33,33,2,22,534,0,2,1,0,0
34,13618,34,34,2,22,534,0,2,1,0,0
39,16992,39,39,2,22,534,0,2,1,0,0
37,6878,37,37,2,22,534,0,2,1,0,0
1144825162,6878,27,139,4,22,534,0,4,2,0,0
35,15934,35,35,2,22,534,0,2,1,0,0
35,17576,35,35,2,22,534,0,2,1,0,0
40,6305,40,40,2,22,534,0,2,1,0,0
55,8259,55,55,2,22,534,0,2,1,0,0
17,20,17,17,2,22,534,0,2,1,0,0
4391,20,17,4335,6,22,534,0,6,3,0,0
30,11576,30,30,2,22,534,0,2,1,0,0
1144893088,11576,24,109,4,22,534,0,4,2,0,0
99,165,99,99,2,22,534,0,2,1,0,0
124,2031,124,124,2,22,534,0,2,1,0,0
180,1905,180,180,2,22,534,0,2,1,0,0
37,3687,37,37,2,22,534,0,2,1,0,0
31,20163,31,31,2,22,534,0,2,1,0,0
18,20,18,18,2,22,534,0,2,1,0,0
1144953084,20,18,3942,4,22,534,0,4,2,0,0
40,16310,40,40,2,22,534,0,2,1,0,0
1144973023,3548,23,40,4,22,534,0,4,2,0,0
38,12261,38,38,2,22,534,0,2,1,0,0
1144989020,12261,29,3644,4,22,534,0,4,2,0,0
28,8119,28,28,2,22,534,0,2,1,0,0
27,28,27,27,2,22,534,0,2,1,0,0
27,3761,27,27,2,22,534,0,2,1,0,0
29,15873,29,29,2,22,534,0,2,1,0,0
1145017031,15873,26,84,4,22,534,0,4,2,0,0
54,19873,19,35,3,22,534,0,3,2,0,0
1145041271,19,32,4233,3,22,534,0,3,1,0,0
196,7705,196,196,2,22,534,0,2,1,0,0
41,3936,41,41,2,22,534,0,2,1,0,0
1145065071,7807,42,4073,4,22,534,0,4,2,0,0
66,6508,66,66,2,22,534,0,2,1,0,0
50,5378,50,50,2,22,534,0,2,1,0,0
44,4015,44,44,2,22,534,0,2,1,0,0
31,8301,31,31,2,22,534,0,2,1,0,0
48,7691,48,48,2,22,534,0,2,1,0,0
34,8159,34,34,2,22,534,0,2,1,0,0
47,7720,47,47,2,22,534,0,2,1,0,0
40,11791,40,40,2,22,534,0,2,1,0,0
359,7900,359,359,2,22,534,0,2,1,0,0
39,71,39,39,2,22,534,0,2,1,0,0
52,3881,52,52,2,22,534,0,2,1,0,0
34,13076,34,34,2,22,534,0,2,1,0,0
47,2768,47,47,2,22,534,0,2,1,0,0
24,39,24,24,2,22,534,0,2,1,0,0
36,12169,36,36,2,22,534,0,2,1,0,0
23,767,23,23,2,22,534,0,2,1,0,0
1145217251,739,17,16270,4,22,534,0,4,2,0,0
27,7102,27,27,2,22,534,0,2,1,0,0
58,4218,24,34,3,22,534,0,3,2,0,0
36,2033,36,36,2,22,534,0,2,1,0,0
68,9929,26,42,3,22,534,0,3,2,0,0
23,25,23,23,2,22,534,0,2,1,0,0
114,4339,114,114,2,22,534,0,2,1,0,0
18,28,18,18,2,22,534,0,2,1,0,0
29,298,29,29,2,22,534,0,2,1,0,0
69,8128,19,30,5,22,534,0,5,2,0,0
1145316890,3570,71,8122,5,22,534,0,5,1,0,0
12022,3570,22,8122,12,22,534,0,12,3,0,0
41,14363,41,41,2,22,534,0,2,1,0,0
32,1650,32,32,2,22,534,0,2,1,0,0
1145353454,1650,32,4360,5,22,534,0,5,3,0,0
1145368918,40,11781,11781,2,52,52,0,2,0,0,0
1145373908,48,56,4886,3,22,534,0,3,1,0,0
24,34,24,24,2,22,534,0,2,1,0,0
1145377296,34,24,26,4,22,534,0,4,2,0,0
28,37,28,28,2,22,534,0,2,1,0,0
44,3463,44,44,2,22,534,0,2,1,0,0
1145400973,7931,36,36,2,52,52,0,2,0,0,0
25,7931,25,36,3,52,52,0,3,0,0,0
1145408862,7931,25,7889,4,52,52,0,4,0,0,0
36,4194,36,36,2,22,534,0,2,1,0,0
1145419687,4194,36,6606,3,22,534,0,3,1,0,0
54,2979,54,54,2,22,534,0,2,1,0,0
50,14304,50,50,2,22,534,0,2,1,0,0
61,653,61,61,2,22,534,0,2,1,0,0
29,8420,29,29,2,22,534,0,2,1,0,0
44,3811,44,44,2,22,534,0,2,1,0,0
42,8335,42,42,2,22,534,0,2,1,0,0
0,4116,40,40,2,22,534,0,2,1,0,0
258,4089,258,258,2,22,534,0,2,1,0,0
36,4855,36,36,2,22,534,0,2,1,0,0
32,3278,32,32,2,22,534,0,2,1,0,0
1145501359,3278,32,7862,3,22,534,0,3,1,0,0
26,3896,26,26,2,22,534,0,2,1,0,0
33,861,33,33,2,22,534,0,2,1,0,0
35,8125,35,35,2,22,534,0,2,1,0,0
24,26,24,24,2,22,534,0,2,1,0,0
41,16010,41,7917,3,22,534,0,3,2,0,0
37,4507,37,37,2,22,534,0,2,1,0,0
34,8202,34,34,2,22,534,0,2,1,0,0
26,25,26,26,2,22,534,0,2,1,0,0
1145613081,3662,38,38,2,52,52,0,2,0,0,0
29258204,687917,10,15012914,753,22,534,0,753,2,150,150
24,14167,24,24,2,22,534,0,2,1,0,0
21,22173,21,21,2,22,534,0,2,1,0,0
51,5809,51,51,2,22,534,0,2,1,0,0
40,7649,40,40,2,22,534,0,2,1,0,0
25,29479,25,25,2,22,534,0,2,1,0,0
31,6080,31,31,2,22,534,0,2,1,0,0
39,4031,39,39,2,22,534,0,2,1,0,0
25,134,25,25,2,22,534,0,2,1,0,0
28,13388,28,28,2,22,534,0,2,1,0,0
74,19135,28,46,3,22,534,0,3,2,0,0
324,7223,324,324,2,22,534,0,2,1,0,0
82,3521,82,82,2,22,534,0,2,1,0,0
31,4031,31,31,2,22,534,0,2,1,0,0
1175737517,4031,31,4483,4,22,534,0,4,2,0,0
44,36047,44,44,2,22,534,0,2,1,0,0
134,19454,134,134,2,22,534,0,2,1,0,0
29,3716,29,29,2,22,534,0,2,1,0,0
31,7996,31,31,2,22,534,0,2,1,0,0
1175806323,7996,31,1286,4,22,534,0,4,2,0,0
80,14984,80,80,2,22,534,0,2,1,0,0
29,7595,29,29,2,22,534,0,2,1,0,0
39,3998,39,39,2,22,534,0,2,1,0,0
40,20686,40,40,2,22,534,0,2,1,0,0
443,3016,443,443,2,22,534,0,2,1,0,0
34,3530,34,34,2,22,534,0,2,1,0,0
39,6402,39,39,2,22,534,0,2,1,0,0
44,21697,44,44,2,22,534,0,2,1,0,0
48,4139,48,48,2,22,534,0,2,1,0,0
43,4336,43,43,2,22,534,0,2,1,0,0
40,3352,40,40,2,22,534,0,2,1,0,0
25,29,25,25,2,22,534,0,2,1,0,0
40,21377,40,40,2,22,534,0,2,1,0,0
42,20265,42,42,2,22,534,0,2,1,0,0
3942,18150,18,3851,6,22,534,0,6,3,0,0
41,15827,41,41,2,22,534,0,2,1,0,0
51,12102,51,51,2,22,534,0,2,1,0,0
34,11981,34,34,2,22,534,0,2,1,0,0
38,38108,38,38,2,22,534,0,2,1,0,0
1176059343,38108,22,84,5,22,534,0,5,3,0,0
39,17648,39,39,2,22,534,0,2,1,0,0
29,4469,29,29,2,22,534,0,2,1,0,0
44,3488,44,44,2,22,534,0,2,1,0,0
33,3991,33,33,2,22,534,0,2,1,0,0
39,19921,39,39,2,22,534,0,2,1,0,0
167,8642,167,167,2,22,534,0,2,1,0,0
47,8486,47,47,2,22,534,0,2,1,0,0
66,7666,66,66,2,22,534,0,2,1,0,0
1176160903,18618,24,36,4,22,534,0,4,2,0,0
36,16458,36,36,2,22,534,0,2,1,0,0
27,3546,27,27,2,22,534,0,2,1,0,0
37,12174,37,37,2,22,534,0,2,1,0,0
49,11830,49,49,2,22,534,0,2,1,0,0
37,3925,37,37,2,22,534,0,2,1,0,0
146,12337,146,146,2,22,534,0,2,1,0,0
39,3040,39,39,2,22,534,0,2,1,0,0
41,10114,41,41,2,22,534,0,2,1,0,0
393,10207,393,393,2,22,534,0,2,1,0,0
54,23715,54,54,2,22,534,0,2,1,0,0
137,13152,137,137,2,22,534,0,2,1,0,0
57,26835,57,57,2,22,534,0,2,1,0,0
38,23631,38,38,2,22,534,0,2,1,0,0
34,16000,34,34,2,22,534,0,2,1,0,0
20,146,20,20,2,22,534,0,2,1,0,0
45,11740,45,94,3,22,534,0,3,2,0,0
66,8163,66,66,2,22,534,0,2,1,0,0
42,7637,42,42,2,22,534,0,2,1,0,0
40,40020,40,40,2,22,534,0,2,1,0,0
1176417378,40020,40,279,4,22,534,0,4,2,0,0
92,40020,23,279,6,22,534,0,6,3,0,0
37,11456,37,37,2,22,534,0,2,1,0,0
34,12077,34,34,2,22,534,0,2,1,0,0
32,3933,32,32,2,22,534,0,2,1,0,0
26,4933,26,26,2,22,534,0,2,1,0,0
48,15094,48,48,2,22,534,0,2,1,0,0
39,3934,39,39,2,22,534,0,2,1,0,0
84,13121,84,84,2,22,534,0,2,1,0,0
